nombre,diametro_nm,zeta_mV,peg_nm,A · pasiva (adhesión y envolvimiento),B · celular (macrófago de Troya),C · adsortiva (carga positiva),D · mediada por receptor
Liposoma 39,641.46,2.47,1.49,EXCLUIDA,NO EVALUABLE,NO EVALUABLE,NO EVALUABLE
Liposoma 40,458.1,-6.69,0.76,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 41,540.88,-9.12,3.89,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 42,385.34,-27.98,1.62,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 43,43.05,4.52,4.39,EXCLUIDA,EXCLUIDA,NO EVALUABLE,NO EVALUABLE
Liposoma 44,587.22,-17.24,0.29,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 45,618.27,5.14,0.43,EXCLUIDA,NO EVALUABLE,NO EVALUABLE,NO EVALUABLE
Liposoma 46,355.61,-25.58,3.8,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 47,543.11,-23.51,2.38,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 48,398.37,-18.72,4.36,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 49,313.5,-20.59,2.7,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 50,519.05,-20.96,1.56,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
